Review Text,Date,Rating,Person Name
Bought this iPhone here at Amazon. It is in perfect condition. Use it every day. No problems at all. Perfect condition at a cheaper price. I highly recommend this seller!,"Reviewed in the United States on January 23, 2024",5.0 out of 5 stars,Stevo
"Product is literally like new not a single scratch, battery at 100% which Is essential to me considering the fact your paying for 1tb model in excellent condition. Secure packaging with charger and 90 day warranty. Overall exceptional service 👌","Reviewed in the United States on February 8, 2024",5.0 out of 5 stars,Assam A.
Good deal for a new version.  Working nicely right out of the box.  Easy transfer wireless set up apple 12  to 15.,"Reviewed in the United States on January 10, 2024",4.0 out of 5 stars,CBF Services
Although it's renewed but looks new. The battery health is 100%. Not a single scratch or other signs of usage. Happy with this phone.,"Reviewed in the United States on February 3, 2024",5.0 out of 5 stars,Artyom
I paid $1000 for this piece of crap. The setup procedure doesn't work. I cannot emphasize enough what a waste of time and money this iphone is. Don't buy it. Don't buy it. Don't buy it.,"Reviewed in the United States on February 10, 2024",1.0 out of 5 stars,Amazon Customer
"Excellent condition, just a minor imperfection but expected as the phone was renewed.Came with a USB-Cable, Charger and case.iPhone 15 Pro.","Reviewed in the United States on February 6, 2024",5.0 out of 5 stars,Eliezer
Phone came looking new. Battery health is at 100% too.,"Reviewed in the United States on February 4, 2024",5.0 out of 5 stars,Mirna
"Bought the iPhone 15 pro 1TB unlocked in excellent condition. I just review the phone and it is brand new! The phone shows 0 battery cycles. Incredibly happy with my purchase, no issues at all.","Reviewed in the United States on January 31, 2024",5.0 out of 5 stars,Placeholder
"I wasn’t expecting it to come nearly indistinguishable from a new phone, but it absolutely did. It had a total of 8 cycle counts, which is pretty great. It was shipped out the day I ordered it and came quickly. No scratches, chips, or anything of that sort. I’m pretty happy overall.","Reviewed in the United States on February 13, 2024",5.0 out of 5 stars,Michael
The phone is apparently in good condition. The cable and charger are terrible.,"Reviewed in the United States on February 13, 2024",4.0 out of 5 stars,Mario Q.
"El teléfono tiene un ligero rayón en la pantalla casi innotable, pero lo que no me gustó es que me trajo un cargador incorrecto, debería ser tipo c. y soporte no me quiso ayudar. Tendré que comprar otro.","Reviewed in the United States on January 27, 2024",4.0 out of 5 stars,Jose A.
Recomiendo enormemente este producto mi teléfono llego como nuevo sin ningún daño y la batería llegó con el 100 por ciento excelente vendedor +++,"Reviewed in the United States on February 7, 2024",5.0 out of 5 stars,Bryangt
Llego con un cable Ligthning,"Reviewed in the United States on January 25, 2024",4.0 out of 5 stars,Elena Laura
"I find no fault my grandson loves, loves, loves this phone.","Reviewed in the United States on February 11, 2024",5.0 out of 5 stars,BB
Last all day!,"Reviewed in the United States on February 13, 2024",5.0 out of 5 stars,Eli & Friends
很好！我喜欢。,"Reviewed in the United States on February 6, 2024",5.0 out of 5 stars,Jianjun Wang
Very good and useful,"Reviewed in the United States on January 18, 2024",5.0 out of 5 stars,Luiz Augusto Gomes
Ok that was the fastest service ever. We got are new phones a day before estimated in an ice storm no less. Now that is service. Phone was as advertised in great condition.,"Reviewed in the United States on December 28, 2023",5.0 out of 5 stars,Kindle Customer
I recently just ordered this phone works great but came with the wrong charger port sent the old charger instead of new iPhone charger,"Reviewed in the United States on January 20, 2024",3.0 out of 5 stars,Taylor
"10 out of 10 works fine no bugs or delays, buttons works fine it looks great just like how you would get it from the Apple Store","Reviewed in the United States on December 9, 2023",5.0 out of 5 stars,BamBam
"Equipo en regular estado, cargador no funciona y cable en mal estado","Reviewed in the United States on February 4, 2024",1.0 out of 5 stars,RAFAEL YANCES
Excelente estado del celular y la bateria,"Reviewed in the United States on February 12, 2024",5.0 out of 5 stars,jdiaz070
